ticker,31DaysAgo_price,30DaysAgo_price,29DaysAgo_price,28DaysAgo_price,27DaysAgo_price,26DaysAgo_price,25DaysAgo_price,24DaysAgo_price,23DaysAgo_price,22DaysAgo_price,21DaysAgo_price,20DaysAgo_price,19DaysAgo_price,18DaysAgo_price,17DaysAgo_price,16DaysAgo_price,15DaysAgo_price,14DaysAgo_price,13DaysAgo_price,12DaysAgo_price,11DaysAgo_price,10DaysAgo_price,9DaysAgo_price,8DaysAgo_price,7DaysAgo_price,6DaysAgo_price,5DaysAgo_price,4DaysAgo_price,3DaysAgo_price,2DaysAgo_price,1DaysAgo_price,Today_price,Day_move,Week_move,Month_move
EURK,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.72,10.72,10.71,0.0,-10.71,0.0,0.0
GIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7901,11.41,11.18,10.77,10.91,0.14000000000000057,0.0,0.0
INVX,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.86,18.8,18.95,17.21,20.47,3.259999999999998,0.0,0.0
POLEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCICU,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PMAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.913,3.0238,2.9402,3.09,2.9,-0.18999999999999995,0.0,0.0
PTHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7299,0.70005,0.7138,0.686,0.612,-0.07400000000000007,0.0,0.0
LPAAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.2286,0.24,0.011399999999999993,0.0,0.0
CURR,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,1.72,1.7093,1.7,1.65,-0.050000000000000044,0.0,0.0
LPAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.52,10.51,10.51,10.51,10.5,-0.009999999999999787,0.0,0.0
ORKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.375,22.52,21.99,24.97,27.07,2.1000000000000014,0.0,0.0
SIMAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.34,0.34,0.0,0.3348,0.0,0.0,0.0
SIMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.56,10.605,10.605,0.0,0.0,0.0,0.0,0.0
GIGGU,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.28,0.0,13.15,11.53,0.0,-11.53,0.0,0.0
AZI,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2089,0.209101,0.2096,0.212,0.1208,-0.09119999999999999,0.0,0.0
SPAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8931,7.4246,7.2,6.75,7.085,0.33499999999999996,0.0,0.0
JBDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.855,1.97,2.03,1.9,1.6206,-0.27939999999999987,0.0,0.0
